Year,Country of origin,Country of asylum,Population Type,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total,Total
2001,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773
2001,Myanmar,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2001,Myanmar,Bangladesh,REF,2020,2443,2090,4523,248,0,11324,2052,2381,2046,4061,242,0,10782,22106
2001,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350
2001,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
2001,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
2001,Myanmar,France,REF,0,0,0,0,0,9,9,0,0,0,0,0,56,56,65
2001,Myanmar,India,REF,26,43,37,213,0,0,319,32,44,37,434,10,0,557,876
2001,Myanmar,Japan,REF,0,0,0,0,0,37,37,0,0,0,0,0,80,80,117
2001,Myanmar,Malaysia,REF,0,7,0,12,0,0,19,0,5,0,26,0,0,31,5151
2001,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
2001,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2001,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
2001,Myanmar,Pakistan,REF,0,0,0,8,0,0,8,0,6,0,8,0,0,14,22
2001,Myanmar,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2001,Myanmar,Switzerland,REF,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2001,Myanmar,Thailand,REF,7472,10132,8684,25270,1808,0,53366,7818,10734,9202,27321,1872,0,56947,110313
2001,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5268
2002,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732
2002,Myanmar,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2002,Myanmar,Bangladesh,REF,2215,2315,1977,4425,297,0,11229,2230,2247,1920,4072,269,0,10738,21967
2002,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
2002,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2002,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
2002,Myanmar,France,REF,0,0,0,0,0,13,13,0,0,0,0,0,61,61,74
2002,Myanmar,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368
2002,Myanmar,India,REF,29,57,49,256,5,0,396,37,54,46,499,11,0,647,1043
2002,Myanmar,Japan,REF,0,0,0,0,0,23,23,0,0,0,0,0,105,105,128
2002,Myanmar,Malaysia,REF,5,6,5,23,0,2041,2080,9,5,5,88,0,3060,3167,5247
2002,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
2002,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2002,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353
2002,Myanmar,Pakistan,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2002,Myanmar,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2002,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2002,Myanmar,Switzerland,REF,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2002,Myanmar,Thailand,REF,7482,10112,8668,26219,1861,0,54342,7762,10802,9259,28158,1915,0,57896,112238
2002,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5551
2003,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684
2003,Myanmar,Bangladesh,REF,1973,2084,1787,3923,225,0,9992,2120,1956,1678,3787,210,0,9751,19743
2003,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440
2003,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
2003,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
2003,Myanmar,France,REF,0,0,0,0,0,16,16,0,0,0,0,0,70,70,86
2003,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2003,Myanmar,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420
2003,Myanmar,India,REF,25,52,45,256,5,0,383,29,59,50,408,11,0,557,940
2003,Myanmar,Japan,REF,0,0,0,0,0,60,60,0,0,0,0,0,76,76,136
2003,Myanmar,Rep. of Korea,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2003,Myanmar,Malaysia,REF,141,172,147,625,24,0,1109,172,212,182,2466,11,0,3043,4152
2003,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208
2003,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
2003,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377
2003,Myanmar,Pakistan,REF,0,6,0,0,0,0,6,0,0,5,14,0,0,19,25
2003,Myanmar,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2003,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2003,Myanmar,Thailand,REF,7170,10689,9161,28409,2074,0,57503,7485,11325,9707,30576,2166,0,61259,118762
2003,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4789
2004,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651
2004,Myanmar,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2004,Myanmar,Bangladesh,REF,1913,2181,1870,4095,248,0,10307,2074,2069,1774,3950,228,0,10095,20402
2004,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538
2004,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380
2004,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
2004,Myanmar,France,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
2004,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
2004,Myanmar,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453
2004,Myanmar,India,REF,37,69,60,337,5,0,508,49,77,66,451,11,0,654,1162
2004,Myanmar,Japan,REF,0,0,0,0,0,58,58,0,0,0,0,0,87,87,145
2004,Myanmar,Rep. of Korea,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2004,Myanmar,Malaysia,REF,400,450,385,1551,49,0,2835,390,486,416,5358,116,0,6766,9601
2004,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
2004,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459
2004,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390
2004,Myanmar,Pakistan,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2004,Myanmar,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2004,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
2004,Myanmar,Thailand,REF,7445,10922,9358,28815,2162,0,58702,7845,11451,9814,30769,2233,0,62112,120814
2004,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5342
2005,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967
2005,Myanmar,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2005,Myanmar,Bangladesh,REF,2000,2209,1894,4303,246,0,10652,2101,2132,1829,4116,223,0,10401,21053
2005,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613
2005,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519
2005,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
2005,Myanmar,France,REF,0,0,0,0,0,19,19,0,0,0,0,0,86,86,105
2005,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
2005,Myanmar,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331
2005,Myanmar,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2005,Myanmar,India,REF,47,87,75,438,5,0,652,65,101,86,551,16,0,819,1471
2005,Myanmar,Japan,REF,0,0,0,0,0,86,86,0,0,0,0,0,154,154,240
2005,Myanmar,Rep. of Korea,REF,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2005,Myanmar,Mexico,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2005,Myanmar,Malaysia,REF,638,616,528,2359,65,0,4206,612,706,606,7940,138,0,10002,14208
2005,Myanmar,Nepal,REF,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2005,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213
2005,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743
2005,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
