activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2018,549300WTZMQSET2VY242,99999,OK,40011,40011958700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,145000.0,96.5,4.75,1.268,2,6205.07,NA,1656.95,73.64,335.0,360,NA,NA,2,2,2,2,155000,1,1,3,5,1,NA,48,41,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,3,,,,,10,,,,1279,14.2300000000000004,54500,101,450,1026,41
2018,549300WTZMQSET2VY242,99999,OK,40015,40015161800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,45000.0,95.0,5.5,2.413,2,3075.51,NA,1110.56,120.56,62.85,360,NA,NA,2,2,2,2,45000,1,1,3,5,1,NA,47,20%-<30%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,3367,39.6199999999999974,54500,84,876,1878,45
2018,549300WTZMQSET2VY242,99999,OK,40015,40015162300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,105000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,71,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,55-64,No,No,1,1,1,,,,,10,,,,2811,21.379999999999999,54500,101,753,1322,49
2018,549300WTZMQSET2VY242,99999,OK,40015,40015162300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,2,2,1,1,2,2,2,135000.0,96.5,5.5,2.078,2,6102.46,NA,1381.0,,,360,NA,NA,2,2,2,2,145000,1,1,3,5,1,NA,53,30%-<36%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,3,,,,,10,,,,2811,21.379999999999999,54500,101,753,1322,49
2018,549300WTZMQSET2VY242,36420,OK,40017,40017300801,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,71,2,2,1,1,2,2,2,175000.0,96.5,4.5,1.355,2,6619.84,NA,1724.21,693.21,1500.0,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,78,50%-60%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,3,,,,,10,,,,10106,24.1499999999999986,69300,149,2981,3280,14
2018,549300WTZMQSET2VY242,36420,OK,40017,40017300801,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,175000.0,96.5,4.75,1.64,2,5991.55,NA,1031.0,,1500.0,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,73,50%-60%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,3,,,,,10,,,,10106,24.1499999999999986,69300,149,2981,3280,14
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301008,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,195000.0,96.5,5.125,1.717,2,6486.3,NA,1031.0,,1550.0,360,NA,NA,2,2,2,2,195000,1,1,3,5,1,NA,77,47,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,3,,,,,10,,,,6872,31,69300,156,1634,1997,13
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301009,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,2,1,1,1,2,2,2,255000.0,95.0,4.125,0.461,2,4997.51,NA,2957.51,1926.51,1911.75,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,0,39,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,3629,15.2899999999999991,69300,113,961,1153,10
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,175000.0,96.5,4.0,1.156,2,6238.82,NA,1206.66,175.66,208.36,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,85,30%-<36%,9,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,3,,,,,10,,,,6410,11.2200000000000006,69300,120,1753,2098,34
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301410,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,71,2,3,1,1,2,2,2,155000.0,100.0,4.0,0.206,2,4138.35,NA,0.0,,163.23,360,NA,NA,2,2,2,2,155000,1,1,3,5,1,NA,61,50%-60%,2,9,2,,,,,2,,,,,1,1,5,,,,,2,,,,,1,1,1,2,1,1,25-34,25-34,No,No,1,1,1,,,,,10,,,,4676,19.5500000000000007,69300,114,1140,1528,17
