activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301009,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,1,1,2,2,2,135000.0,96.5,,,3,,,,,,360,,,2,2,2,2,145000.0,1,1,3,5,1,,54,40,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,1,,,,,7,,,,3629,15.29,69300,113,961,1153,10
2018,549300WTZMQSET2VY242,36420,OK,40017,40017300801,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Joint,3,0,2,1,1,1,2,2,2,155000.0,95.0,,,3,,,,,,360,,,2,2,2,2,155000.0,1,1,3,5,1,,35,50%-60%,2,9,3,,,,,3,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,<25,<25,No,No,1,1,1,,,,,1,,,,10106,24.15,69300,149,2981,3280,14
2018,549300WTZMQSET2VY242,36420,OK,40017,40017300902,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,32,1,2,2,1,75000.0,66.406,,,3,,,,,,360,,,2,2,2,2,125000.0,1,3,3,5,1,,97,49,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,1,,,,,7,,,,2475,21.09,69300,108,750,933,39
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301300,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,2,1,1,2,2,2,175000.0,96.5,,,3,,,,,,360,,,2,2,2,2,175000.0,1,1,3,5,1,,55,50%-60%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,25-34,9999,No,,1,1,1,,,,,3,,,,5302,19.94,69300,166,1528,1819,14
2018,549300WTZMQSET2VY242,36420,OK,40017,40017300905,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Joint,3,0,2,1,1,1,2,2,2,235000.0,80.0,,,3,,,,,,360,,,2,2,2,2,285000.0,1,1,3,5,1,,157,20%-<30%,9,2,3,,,,,3,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,7,,,,4815,21.47,69300,134,1290,1514,12
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301202,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,1,1,2,2,2,125000.0,85.0,,,3,,,,,,240,,,2,2,2,2,165000.0,1,1,3,5,1,,60,43,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,1,,,,,7,,,,2986,12.53,69300,101,805,1054,42
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301006,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,2,1,1,2,2,2,125000.0,96.5,,,3,,,,,,360,,,2,2,2,2,125000.0,1,1,3,5,1,,89,48,9,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,35-44,No,No,1,1,3,,,,,7,,,,3154,28.44,69300,109,902,1109,26
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301009,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,3,1,1,2,2,2,245000.0,100.0,,,3,,,,,,360,,,2,2,2,2,245000.0,1,1,3,5,1,,110,44,9,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,1,,,,,4,,,,3629,15.29,69300,113,961,1153,10
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,2,1,1,2,2,2,105000.0,96.5,,,3,,,,,,360,,,2,2,2,2,105000.0,1,1,3,5,1,,29,39,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,3,,,,,7,,,,6410,11.22,69300,120,1753,2098,34
2018,549300WTZMQSET2VY242,36420,OK,40017,40017300802,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,1,1,2,2,2,155000.0,75.845,,,3,,,,,,360,,,2,2,2,2,205000.0,1,1,3,5,1,,60,40,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,,1,1,1,,,,,5,,,,2522,9.36,69300,108,812,949,34
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301407,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,1,1,2,2,2,205000.0,88.27,,,3,,,,,,360,,,2,2,2,2,235000.0,1,1,3,5,1,,118,41,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,1,1,,,,,4,,,,5667,16.34,69300,129,1569,1916,28
2018,549300WTZMQSET2VY242,36420,OK,40017,40017301100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,1,1,2,2,2,135000.0,95.0,,,3,,,,,,360,,,2,2,2,2,165000.0,1,1,3,5,1,,67,43,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,1,,,,,1,,,,6410,11.22,69300,120,1753,2098,34
2018,549300WTZMQSET2VY242,36420,OK,40027,40027202107,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,1,1,2,2,2,195000.0,66.102,,,3,,,,,,360,,,2,2,2,2,295000.0,1,1,3,5,1,,78,39,9,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,7,,,,2764,33.07,69300,152,800,985,10
2018,549300WTZMQSET2VY242,36420,OK,40027,40027201405,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,1,1,2,2,2,225000.0,80.0,,,3,,,,,,180,,,2,2,2,2,275000.0,1,1,3,5,1,,120,42,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,65-74,Yes,Yes,1,1,1,,,,,7,,,,5252,15.92,69300,140,1646,2207,14
